,fold,auc,precision,recall,f1
0,1,0.823010116434434,0.5549872122762148,0.7777777777777778,0.6477611940298508
1,2,0.847376522553875,0.5,0.8266129032258065,0.6231003039513677
2,3,0.8838072669826225,0.6275862068965518,0.8806451612903226,0.7328859060402685
3,4,0.8716952402436274,0.5233415233415234,0.8588709677419355,0.650381679389313
4,5,0.7949714589141113,0.4829059829059829,0.8100358422939068,0.6050870147255689
5,Mean,0.8441721210257341,0.5377641850840547,0.8307885304659498,0.6518432196272739
