K_days,Mean_AUC,Std_AUC
1,0.7303745791245791,0.08404182591619082
2,0.8441155272532083,0.07546877198818473
3,0.8969177280046846,0.07213763731731794
4,0.9131509173864247,0.05386985043619911
5,0.9318841067681646,0.037179827285549104
6,0.9317721783047869,0.049266410079897696
7,0.9353133509003074,0.04156978561569146
14,0.9528895964475674,0.03173367681226961
21,0.9594153369443225,0.0279930835104546
28,0.9547573683696872,0.02272753226535212
